system:index,area,class,key,year,.geo
0_0000000000000000005f_0_1,57.151882506413344,3,71,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005f_0_2,12.616668037426548,21,71,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005f_0_3,0.3469008240356448,24,71,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_0,4.927159938593333,0,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_1,69.6109478886677,3,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_2,0.6772328053765998,15,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_3,1.728897007464249,18,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_4,0.24242555336698632,21,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b_0_5,0.007848286926269531,24,90,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005_0_0,64.59669009196413,0,3,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005_0_1,0.5295064715037632,3,3,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005_0_2,12.060256738083087,21,3,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008_0_0,22.36952198857779,0,19,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008_0_1,6.749202668516407,3,19,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008_0_2,36.2454654314812,21,19,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008_0_3,11.83397697365663,24,19,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000039_0_0,41.89662568149206,0,28,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000039_0_1,34.45967459423181,3,28,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000039_0_2,0.8362526696801285,21,28,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000041_0_0,19.79082779456541,0,93,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000041_0_1,56.50983337016583,3,93,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000041_0_2,0.8843558440961029,21,93,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000016_0_0,47.08857290145176,0,11,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000016_0_1,1.80232164074706,3,11,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000016_0_2,27.722922601999713,21,11,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000016_0_3,0.5716963359815405,24,11,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000045_0_0,48.21762928823909,0,62,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000045_0_1,24.00166807132625,3,62,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000045_0_2,4.838825040260015,21,62,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000045_0_3,0.13356024865722663,24,62,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000015_0_0,52.00452751796535,0,43,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000015_0_1,25.117221759434482,3,43,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000015_0_2,0.030653864440917975,18,43,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000015_0_3,0.03678543768310547,21,43,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000051_0_0,12.652892252913578,0,61,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000051_0_1,56.19694017402558,3,61,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000051_0_2,0.009585843017578123,15,61,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000051_0_3,8.337281258706433,21,61,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001_0_0,27.616627674985217,0,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001_0_1,3.387844900247242,3,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001_0_2,34.49061620103722,21,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001_0_3,11.69721127340973,24,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000067_0_0,27.616627674985217,0,105,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000067_0_1,3.387844900247242,3,105,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000067_0_2,34.49061620103722,21,105,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000067_0_3,11.69721127340973,24,105,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000068_0_0,27.616627674985217,0,106,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000068_0_1,3.387844900247242,3,106,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000068_0_2,34.49061620103722,21,106,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000068_0_3,11.69721127340973,24,106,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005a_0_0,5.766011550727895,0,81,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005a_0_1,51.7785428988712,3,81,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005a_0_2,0.12274559167480462,15,81,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005a_0_3,19.52005561497678,21,81,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d_0_0,23.369650485292233,0,8,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d_0_1,53.509947746523366,3,8,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d_0_2,0.31256511102294937,21,8,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002d_0_0,0.48132634315018036,0,41,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002d_0_1,43.21326555701542,3,41,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002d_0_2,33.320462255679644,21,41,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002d_0_3,0.17911239624023467,24,41,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f_0_0,28.87415763327766,0,44,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f_0_1,38.2913237139448,3,44,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f_0_2,10.025724019831207,21,44,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000035_0_0,70.70490875372276,0,25,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000035_0_1,2.153432540923001,3,25,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000035_0_2,4.3352122770857395,21,25,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000024_0_0,0.02267195086669922,0,50,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000024_0_1,70.20652706922964,3,50,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000024_0_2,6.959808545193252,21,50,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000019_0_0,19.044417500821915,0,45,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000019_0_1,48.451479951907636,3,45,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000019_0_2,0.030493904541015616,15,45,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000019_0_3,0.013949436486098345,18,45,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000019_0_4,9.196087605916192,21,45,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000019_0_5,0.46179546850585956,24,45,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009_0_0,28.1450015934881,0,15,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009_0_1,7.328835584009198,3,15,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009_0_2,34.325222270270174,21,15,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009_0_3,7.393126186276208,24,15,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000062_0_0,0.02101661621093749,0,72,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000062_0_1,70.38207895996149,3,72,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000062_0_2,6.672856815473742,21,72,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000062_0_3,0.10770107739257814,24,72,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000044_0_0,66.68995400796246,0,95,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000044_0_1,9.498712405192444,3,95,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000044_0_2,1.0034988611428637,21,95,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003c_0_0,17.25450832871341,0,91,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003c_0_1,59.072744939147285,3,91,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003c_0_2,0.8706285632245229,21,91,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005b_0_0,22.399313953998725,0,78,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005b_0_1,15.462304299314809,3,78,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005b_0_2,0.17152268104846427,15,78,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005b_0_3,37.42708763636135,21,78,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005b_0_4,1.723747966125486,24,78,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000022_0_0,69.31327194900153,0,32,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000022_0_1,5.0575214282564005,3,32,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000022_0_2,2.819375982150678,21,32,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001c_0_0,8.359169980824461,0,46,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001c_0_1,67.7335333848646,3,46,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001c_0_2,1.0798112873896601,21,46,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001c_0_3,0.024395968078613287,24,46,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000061_0_0,0.023635083679199226,0,85,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000061_0_1,69.48693760230447,3,85,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000061_0_2,0.010504575439453124,15,85,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
