system:index,e_salud,isInside_10km,key,name,.geo
00000000000000000018,170101X301,true,101,CENTRO MEDICO DEL ESTABLECIMIENTO PENAL PUERTO MALDONADO,"{""type"":""Point"",""coordinates"":[-69.20020956528965,-12.599029498873405]}"
00000000000000000056,170301A303,true,76,P.S. PRIMAVERA,"{""type"":""Point"",""coordinates"":[-69.5718221288817,-11.042250302690165]}"
00000000000000000017,170101C101,true,100,HOSP. VICTOR ALFREDO LAZO PERALTA ESSALUD,"{""type"":""Point"",""coordinates"":[-69.19880048935674,-12.58139821330808]}"
00000000000000000064,170303A305,true,83,P.S. LA NOVIA,"{""type"":""Point"",""coordinates"":[-69.13774201863191,-11.867188456678708]}"
00000000000000000054,170301A201,true,74,P.S. IÑAPARI,"{""type"":""Point"",""coordinates"":[-69.57667808992892,-10.94576873319676]}"
00000000000000000065,170303A306,false,86,P.S. SANTA MARIA,"{""type"":""Point"",""coordinates"":[-69.00602017351312,-11.894727864784791]}"
00000000000000000002,170101A202,true,14,C.S. NUEVO MELENIO,"{""type"":""Point"",""coordinates"":[-69.1992553176642,-12.593879237156674]}"
0000000000000000001d,170102A306,true,47,P.S. PUENTE INAMBARI,"{""type"":""Point"",""coordinates"":[-70.38578643517772,-13.186640917494396]}"
00000000000000000059,170302A302,true,80,P.S. ARROZAL,"{""type"":""Point"",""coordinates"":[-69.46124088185731,-11.341652183822735]}"
00000000000000000053,170204A306,false,59,P.S. QUEBRADA NUEVA,"{""type"":""Point"",""coordinates"":[-70.50348440748343,-13.024499084989]}"
00000000000000000027,170103A202,true,38,P.S. MAVILA,"{""type"":""Point"",""coordinates"":[-69.11884880746847,-11.935528639423815]}"
0000000000000000005e,170302C301,true,87,POSTA MEDICA ESSALUD IBERIA,"{""type"":""Point"",""coordinates"":[-69.48788401065164,-11.412685663604131]}"
00000000000000000020,170102A309,true,52,P.S. UNION PROGRESO,"{""type"":""Point"",""coordinates"":[-69.8284924446191,-12.88049241646796]}"
00000000000000000043,170202A302,false,98,P.S. YOMIBATO,"{""type"":""Point"",""coordinates"":[-71.90908224155064,-11.8024779821911]}"
00000000000000000023,170102A312,false,26,P.S. AMARACAYRE,"{""type"":""Point"",""coordinates"":[-69.73692926358767,-12.719831005512308]}"
0000000000000000002b,170103A305,false,42,P.S. SABALUYOC,"{""type"":""Point"",""coordinates"":[-69.2725005115681,-12.320250960113023]}"
00000000000000000007,170101A305,true,22,P.S. LOERO,"{""type"":""Point"",""coordinates"":[-69.15873100729048,-12.664600579864327]}"
00000000000000000010,170101A320,true,17,P.S. SAN BERNARDO,"{""type"":""Point"",""coordinates"":[-69.39943774125655,-12.687261731417939]}"
0000000000000000005c,170302A306,true,77,P.S. OCEANIA,"{""type"":""Point"",""coordinates"":[-69.53494536316971,-11.395420024325185]}"
0000000000000000003e,170201A304,false,94,P.S. PALOTOA,"{""type"":""Point"",""coordinates"":[-71.35620722013599,-12.663271767750402]}"
00000000000000000034,170104A302,false,31,P.S. LAGARTO,"{""type"":""Point"",""coordinates"":[-69.831903656925,-12.653800637112878]}"
00000000000000000026,170103A201,true,34,P.S. PLANCHON,"{""type"":""Point"",""coordinates"":[-69.15350494085584,-12.279481399181366]}"
00000000000000000030,170103A312,false,40,P.S. BAJO ALEGRIA,"{""type"":""Point"",""coordinates"":[-68.9306881203162,-12.159250657477306]}"
