"month","UBIGEO","e_salud","dx_code","dx_type","leish_cases"
2001-03-01,170101,"080101A101","B55.1","C",1
2001-03-01,170101,"080106A101","B55.1","C",4
2001-03-01,170101,"080106A101","B55.2","C",2
2001-03-01,170102,"080106A101","B55.2","C",1
2001-03-01,170201,"080401A201","B55.1","C",1
2001-03-01,170104,"080402A301","B55.1","C",1
2001-03-01,170101,"080601A101","B55.2","C",2
2001-03-01,170102,"080601A101","B55.2","C",3
2001-03-01,170201,"081210A201","B55.1","C",2
2001-03-01,170101,"170101A101","B55.1","C",3
2001-03-01,170103,"170101A101","B55.1","C",8
2001-03-01,170104,"170101A101","B55.1","C",1
2001-03-01,170303,"170101A101","B55.1","C",1
2001-03-01,170102,"170101A101","B55.2","C",1
2001-03-01,170103,"170101A302","B55.1","C",3
2001-03-01,170101,"170101A303","B55.1","C",1
2001-03-01,170203,"170101A304","B55.1","C",1
2001-03-01,170103,"170101A304","B55.2","C",1
2001-03-01,170101,"170101A308","B55.1","C",1
2001-03-01,170103,"170101A315","B55.1","C",1
2001-03-01,170101,"170101A318","B55.1","C",1
2001-03-01,170102,"170101A318","B55.1","C",1
2001-03-01,170103,"170101A318","B55.1","C",6
2001-03-01,170203,"170101A318","B55.2","C",1
2001-03-01,170101,"170101A331","B55.1","C",1
2001-03-01,170101,"170101C101","B55.1","C",3
2001-03-01,170102,"170102A201","B55.2","C",1
2001-03-01,170102,"170102A307","B55.1","C",1
2001-03-01,170103,"170103A201","B55.1","C",2
2001-03-01,170103,"170103A202","B55.1","C",3
2001-03-01,170104,"170104A301","B55.1","C",1
2001-03-01,170201,"170201A304","B55.1","C",3
2001-03-01,170201,"170203A304","B55.1","C",1
2001-03-01,170203,"170204A201","B55.1","C",2
2001-03-01,170302,"170302A101","B55.1","C",1
2001-03-01,170303,"170302A305","B55.1","C",1
2001-03-01,170303,"170302A307","B55.1","C",1
2001-03-01,170303,"170303A201","B55.2","C",1
2001-03-01,170303,"170303A301","B55.1","C",1
2001-03-01,170303,"170303A303","B55.1","C",2
2001-03-01,170201,"210101A101","B55.1","C",1
2001-04-01,170203,"030201A101","B55.1","C",1
2001-04-01,170101,"080101A101","B55.1","C",2
2001-04-01,170101,"080106A101","B55.1","C",4
2001-04-01,170104,"080106A101","B55.1","C",1
2001-04-01,170203,"080106A101","B55.1","C",1
2001-04-01,170101,"080106A101","B55.2","C",2
2001-04-01,170104,"080106A101","B55.2","C",1
2001-04-01,170302,"080201A201","B55.1","C",1
2001-04-01,170104,"080401A201","B55.1","C",1
2001-04-01,170302,"080601A101","B55.1","C",1
2001-04-01,170101,"080601A101","B55.2","C",3
2001-04-01,170102,"080601A101","B55.2","C",1
2001-04-01,170201,"081201A201","B55.1","C",3
2001-04-01,170201,"081201A201","B55.2","P",1
2001-04-01,170201,"081203A301","B55.1","C",1
2001-04-01,170203,"081205A201","B55.1","C",1
2001-04-01,170101,"170101A101","B55.1","C",1
2001-04-01,170103,"170101A101","B55.1","C",5
2001-04-01,170101,"170101A101","B55.2","C",1
2001-04-01,170103,"170101A302","B55.1","C",3
2001-04-01,170103,"170101A304","B55.1","C",1
2001-04-01,170101,"170101A306","B55.1","C",1
2001-04-01,170101,"170101A315","B55.1","C",1
2001-04-01,170101,"170101A318","B55.1","C",3
2001-04-01,170102,"170101A318","B55.1","C",1
2001-04-01,170103,"170101A318","B55.1","C",4
2001-04-01,170104,"170101A318","B55.1","C",1
2001-04-01,170103,"170101A318","B55.2","C",1
2001-04-01,170103,"170101A325","B55.1","C",1
2001-04-01,170101,"170101A328","B55.1","C",1
2001-04-01,170103,"170101A329","B55.1","C",2
2001-04-01,170101,"170101C101","B55.1","C",2
2001-04-01,170102,"170102A201","B55.1","C",2
2001-04-01,170103,"170102A201","B55.1","C",1
2001-04-01,170203,"170102A201","B55.1","C",1
2001-04-01,170102,"170102A201","B55.2","C",1
2001-04-01,170203,"170102A314","B55.1","C",1
2001-04-01,170103,"170103A201","B55.1","C",2
2001-04-01,170103,"170103A202","B55.1","C",1
2001-04-01,170103,"170103A301","B55.1","C",1
2001-04-01,170103,"170103A307","B55.1","C",1
2001-04-01,170102,"170104A201","B55.1","C",1
2001-04-01,170203,"170104A201","B55.2","C",1
2001-04-01,170203,"170203A304","B55.1","C",1
2001-04-01,170302,"170302A101","B55.1","C",3
2001-04-01,170303,"170302A101","B55.1","C",1
2001-04-01,170303,"170302A305","B55.1","C",1
2001-04-01,170303,"170302A307","B55.1","C",2
2001-04-01,170303,"170303A301","B55.1","C",2
2001-04-01,170201,"211201A101","B55.1","C",1
2001-05-01,170101,"080101A101","B55.1","C",1
2001-05-01,170203,"080101A101","B55.1","C",1
2001-05-01,170101,"080101A101","B55.2","C",1
2001-05-01,170201,"080101A101","B55.2","C",1
2001-05-01,170101,"080106A101","B55.1","C",2
2001-05-01,170101,"080106A101","B55.2","C",2
2001-05-01,170104,"080601A101","B55.1","C",1
2001-05-01,170101,"080601A101","B55.2","C",2
2001-05-01,170102,"080601A101","B55.2","C",1
2001-05-01,170203,"081101A201","B55.1","P",1
2001-05-01,170203,"081201A201","B55.1","C",1
2001-05-01,170101,"170101A101","B55.1","C",2
2001-05-01,170103,"170101A101","B55.1","C",4
2001-05-01,170104,"170101A101","B55.1","C",1
2001-05-01,170203,"170101A101","B55.1","C",1
2001-05-01,170104,"170101A101","B55.2","C",1
2001-05-01,170101,"170101A302","B55.1","C",1
2001-05-01,170101,"170101A303","B55.1","C",2
2001-05-01,170101,"170101A306","B55.1","C",4
2001-05-01,170104,"170101A308","B55.1","C",1
2001-05-01,170101,"170101A318","B55.1","C",4
2001-05-01,170103,"170101A318","B55.1","C",9
2001-05-01,170104,"170101A318","B55.1","C",1
2001-05-01,170103,"170101A324","B55.1","C",1
2001-05-01,170101,"170101C101","B55.1","C",2
2001-05-01,170102,"170102A201","B55.1","C",3
2001-05-01,170203,"170102A201","B55.1","C",1
2001-05-01,170102,"170102A307","B55.1","C",1
2001-05-01,170103,"170103A202","B55.1","C",3
2001-05-01,170104,"170104A201","B55.1","C",2
2001-05-01,170203,"170203A306","B55.1","C",1
2001-05-01,170203,"170204A201","B55.1","C",1
2001-05-01,170302,"170302A101","B55.1","C",2
2001-05-01,170302,"170302A307","B55.1","C",2
2001-05-01,170103,"170303A201","B55.1","C",1
2001-05-01,170303,"170303A201","B55.1","C",2
2001-05-01,170101,"211201A101","B55.1","C",1
2001-06-01,170103,"040101A102","B55.2","P",1
2001-06-01,170101,"080101A101","B55.2","C",1
2001-06-01,170102,"080101A101","B55.2","C",1
2001-06-01,170104,"080101A101","B55.2","C",1
2001-06-01,170101,"080106A101","B55.1","C",4
2001-06-01,170104,"080106A101","B55.1","C",1
2001-06-01,170101,"080106A101","B55.2","C",2
2001-06-01,170104,"080106A101","B55.2","C",2
2001-06-01,170101,"080601A101","B55.1","C",1
2001-06-01,170101,"080601A101","B55.2","C",1
2001-06-01,170102,"080601A101","B55.2","C",1
2001-06-01,170201,"080901A101","B55.1","C",1
2001-06-01,170104,"081301A201","B55.1","C",1
2001-06-01,170203,"081301A201","B55.1","C",1
2001-06-01,170101,"150111A201","B55.1","P",1
2001-06-01,170103,"170101A101","B55.1","C",4
2001-06-01,170302,"170101A101","B55.2","C",1
2001-06-01,170103,"170101A304","B55.2","C",1
2001-06-01,170101,"170101A315","B55.1","C",1
2001-06-01,170103,"170101A318","B55.1","C",2
2001-06-01,170103,"170101A322","B55.1","C",1
2001-06-01,170101,"170101A328","B55.1","C",2
2001-06-01,170102,"170102A301","B55.1","C",1
2001-06-01,170103,"170103A201","B55.1","C",3
2001-06-01,170103,"170103A201","B55.2","C",1
2001-06-01,170103,"170103A202","B55.1","C",1
2001-06-01,170101,"170103A301","B55.1","C",1
2001-06-01,170203,"170203A304","B55.1","C",1
2001-06-01,170203,"170203A307","B55.1","C",1
2001-06-01,170203,"170204A201","B55.1","C",1
2001-06-01,170302,"170302A101","B55.1","C",2
2001-06-01,170302,"170302A101","B55.2","C",1
2001-07-01,170101,"080101A101","B55.1","C",1
2001-07-01,170101,"080101A101","B55.2","C",1
2001-07-01,170101,"080106A101","B55.1","C",4
2001-07-01,170101,"080106A101","B55.2","C",3
2001-07-01,170104,"080106A101","B55.2","C",1
2001-07-01,170104,"081301A201","B55.1","C",1
2001-07-01,170102,"170101A101","B55.1","C",1
2001-07-01,170103,"170101A101","B55.1","C",7
2001-07-01,170302,"170101A101","B55.1","C",2
2001-07-01,170101,"170101A201","B55.1","C",1
2001-07-01,170103,"170101A301","B55.1","C",1
2001-07-01,170101,"170101A304","B55.1","C",1
2001-07-01,170101,"170101A304","B55.2","C",1
2001-07-01,170103,"170101A306","B55.1","C",1
2001-07-01,170101,"170101A308","B55.1","C",1
2001-07-01,170103,"170101A318","B55.1","C",3
2001-07-01,170104,"170101A318","B55.1","C",1
2001-07-01,170301,"170101A318","B55.1","C",1
2001-07-01,170101,"170101C101","B55.1","C",1
2001-07-01,170102,"170102A302","B55.1","C",2
2001-07-01,170103,"170103A202","B55.1","C",1
2001-07-01,170101,"170103A301","B55.1","C",1
2001-07-01,170103,"170103A307","B55.2","C",1
2001-07-01,170203,"170203A201","B55.1","C",1
2001-07-01,170302,"170302A101","B55.1","C",1
2001-07-01,170302,"170302A304","B55.1","C",1
2001-07-01,170303,"170303A303","B55.1","C",1
2001-07-01,170303,"170303A305","B55.1","C",1
2001-08-01,170203,"080101A202","B55.2","C",1
2001-08-01,170101,"080106A101","B55.1","C",6
2001-08-01,170201,"080106A101","B55.1","C",1
2001-08-01,170203,"080106A101","B55.1","C",1
2001-08-01,170101,"080106A101","B55.2","C",2
2001-08-01,170104,"080106A101","B55.2","C",1
2001-08-01,170203,"080106A101","B55.2","C",1
2001-08-01,170101,"080601A101","B55.2","C",1
2001-08-01,170102,"170101A101","B55.1","C",1
2001-08-01,170103,"170101A101","B55.1","C",2
2001-08-01,170201,"170101A101","B55.1","C",1
2001-08-01,170302,"170101A101","B55.1","C",1
2001-08-01,170103,"170101A318","B55.1","C",1
2001-08-01,170102,"170102A201","B55.1","C",2
2001-08-01,170102,"170102A301","B55.1","C",1
2001-08-01,170103,"170103A202","B55.1","C",1
2001-08-01,170103,"170103A303","B55.1","C",1
2001-08-01,170203,"170204A201","B55.1","C",1
2001-08-01,170303,"170303A201","B55.1","C",1
2001-09-01,170101,"040101A102","B55.2","D",1
2001-09-01,170203,"080106A101","B55.1","C",2
2001-09-01,170201,"080201A201","B55.1","P",1
2001-09-01,170203,"150101A101","B55.1","C",1
2001-09-01,170101,"170101A101","B55.1","C",1
2001-09-01,170203,"170101A101","B55.1","C",1
